id,正面を向いていること,顔のアップ度,背景がシンプルか,動物にピントが合っている,かわいい,写真の中の位置,明暗,猫が2匹以上写っている,成約した
012_028.jpg,5,2,2,2,2,4,4,0,0
013_005.jpg,2,4,2,2,2,4,3,0,0
013_006.jpg,5,3,3,2,3,3,3,0,0
013_009.jpg,4,3,1,1,3,5,2,0,1
013_011.jpg,4,3,4,5,4,3,3,0,1
013_014.jpg,1,2,2,4,3,4,3,0,0
013_017.jpg,5,3,4,3,2,4,3,0,0
013_021.jpg,3,3,5,5,3,3,3,0,1
013_022.jpg,3,3,5,5,3,3,3,0,1
013_025.jpg,3,3,2,2,4,3,4,0,0
013_026.jpg,4,1,1,1,4,2,3,0,0
013_029.jpg,5,4,2,5,2,3,3,0,0
014_001.jpg,3,3,3,4,4,4,4,0,1
014_003.jpg,5,4,2,1,2,3,2,0,0
014_027.jpg,4,4,1,4,4,4,2,0,1
015_000.jpg,4,4,4,4,4,3,3,0,1
015_013.jpg,4,4,1,1,3,4,4,0,1
015_016.jpg,5,2,2,2,2,3,2,0,0
015_018.jpg,5,1,3,1,2,4,2,0,0
015_019.jpg,5,1,2,1,2,3,2,0,0
015_020.jpg,2,4,2,3,5,3,3,0,1
015_021.jpg,5,5,4,5,3,4,2,0,1
015_022.jpg,4,4,1,1,3,3,2,0,0
015_026.jpg,3,1,2,1,2,4,2,0,0
015_028.jpg,2,2,4,5,3,4,2,0,0
015_029.jpg,2,2,4,4,5,4,3,0,1
016_013.jpg,3,3,5,4,5,4,2,0,1
016_015.jpg,2,2,4,3,4,3,3,0,0
016_018.jpg,2,2,3,3,3,3,3,0,0
016_019.jpg,5,5,4,5,2,2,2,0,0
016_022.jpg,5,5,4,5,3,4,2,0,0
016_027.jpg,5,4,4,3,3,3,3,0,0
017_000.jpg,4,4,4,4,3,3,3,0,0
017_001.jpg,4,1,2,2,4,4,2,0,1
017_002.jpg,4,2,1,1,5,2,2,0,1
017_003.jpg,5,5,2,5,2,3,3,0,0
017_005.jpg,5,5,4,5,2,3,3,0,0
017_007.jpg,5,4,4,4,3,4,3,0,0
017_008.jpg,2,2,3,2,4,5,3,0,1
017_019.jpg,4,2,2,4,4,3,3,0,1
017_020.jpg,5,3,4,5,4,2,3,0,0
018_006.jpg,4,1,5,4,3,4,3,0,0
018_023.jpg,2,2,4,2,5,4,4,0,1
018_024.jpg,5,5,4,2,5,4,2,0,1
018_025.jpg,5,1,1,2,2,3,2,0,0
018_029.jpg,3,2,2,2,4,4,3,0,0
019_000.jpg,5,2,5,3,3,4,2,0,0
019_004.jpg,2,3,5,5,2,4,3,0,0
019_006.jpg,4,5,1,3,4,3,3,0,1
019_010.jpg,3,1,3,2,5,5,4,0,1
019_015.jpg,5,5,5,2,3,3,2,0,0
019_020.jpg,3,3,2,2,5,4,3,0,1
019_022.jpg,5,4,3,5,3,3,3,0,0
019_024.jpg,2,2,5,4,5,4,1,0,1
019_025.jpg,2,2,5,4,5,4,4,0,0
019_026.jpg,2,2,5,4,5,4,3,0,0
019_027.jpg,4,2,5,2,3,3,3,0,0
020_001.jpg,4,5,4,5,5,3,3,0,1
020_002.jpg,5,1,2,4,4,4,3,0,0
020_004.jpg,2,3,3,5,5,3,2,0,1
020_005.jpg,5,4,3,5,4,3,2,0,0
020_006.jpg,5,1,2,2,2,4,3,0,0
020_015.jpg,4,4,5,4,4,4,3,0,0
020_017.jpg,3,4,2,5,5,2,3,0,1
020_018.jpg,5,4,3,5,4,4,3,0,1
021_008.jpg,4,4,3,4,4,4,3,0,0
021_018.jpg,4,4,2,3,5,4,3,0,1
021_019.jpg,4,3,2,3,4,4,2,0,0
022_003.jpg,3,5,4,3,5,2,2,0,1
022_005.jpg,4,3,2,2,4,4,3,0,0
022_008.jpg,3,1,3,5,3,4,3,0,0
022_009.jpg,3,2,3,5,4,3,3,0,1
022_010.jpg,3,2,3,5,4,2,4,0,1
022_011.jpg,3,2,3,5,4,3,4,0,0
022_013.jpg,3,2,4,4,3,2,3,0,0
022_014.jpg,3,3,4,3,2,1,3,0,0
022_021.jpg,3,2,2,2,4,4,2,0,1
022_022.jpg,3,2,1,2,4,4,3,0,0
022_024.jpg,4,3,3,3,3,4,2,0,0
022_028.jpg,3,4,4,5,5,3,4,0,1
023_001.jpg,5,4,3,4,3,4,3,0,0
023_005.jpg,2,3,3,3,5,4,3,0,1
023_006.jpg,4,3,3,3,4,5,2,0,0
023_007.jpg,3,5,3,4,5,2,3,0,1
023_011.jpg,2,4,4,3,3,3,3,0,0
023_020.jpg,5,5,3,3,4,3,4,0,0
023_025.jpg,3,4,1,4,3,3,3,0,0
024_000.jpg,3,3,2,3,4,4,3,0,1
024_001.jpg,2,3,2,2,2,1,2,0,0
024_008.jpg,2,1,1,3,4,4,3,0,1
024_009.jpg,2,1,3,1,4,5,3,1,0
024_011.jpg,3,1,3,3,5,4,3,0,1
024_012.jpg,3,4,3,4,4,3,3,0,1
024_013.jpg,2,2,3,3,4,3,2,0,0
024_018.jpg,1,2,3,5,3,3,2,0,0
024_024.jpg,5,5,4,5,3,3,3,0,0
024_029.jpg,3,2,1,1,4,5,3,0,1
025_004.jpg,5,1,1,2,5,5,3,0,1
025_013.jpg,2,4,2,4,4,2,3,0,0
025_015.jpg,4,4,3,3,2,4,2,0,0
